,time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz
0,0.0055546999938087,0.0,0.0,0.0,0.0003336553592560466,0.0008337747463013508,3.215235308573018e-05,0.0024136175466422313,0.004050057161303814,0.002319997900329875,-0.020162587465444862,-0.060288438716697215,-0.0060052481747476325
1,0.0096422000060556,0.0,0.0,0.0,0.000936011313028734,0.002187870741531568,0.0005573481088120056,0.004667706811549842,0.008455413187251114,0.0049828088880249696,-0.017794763251161156,-0.0587798840919392,0.0010314588361911893
2,0.0133757000003242,-3.535039737623836e-05,3.2189236790445256e-05,-1.1887496127671245e-05,0.0015389867083799391,0.003540611749189742,0.0010858211768362922,0.0068967126647993884,0.012796654477114812,0.007634898036112154,-0.015558770430932156,-0.05753526973462238,0.007944272464983386
3,0.0170557999954326,-1.2489625106219122e-05,3.086150933965909e-05,-0.00011638307946524146,0.002142320193085298,0.0048913517586697,0.0016174160824506776,0.009099215384201685,0.017070823999093793,0.01027491265561095,-0.013456871355058206,-0.056556997508731735,0.014728570861671435
4,0.0209914000006392,-1.5012913293420779e-05,2.0142172212753533e-05,-0.00022665524594928576,0.002745749717685372,0.0062394444975495695,0.0021519761179740393,0.011273810758252657,0.021275007452711853,0.012901506725726706,-0.01149121322089607,-0.055847215319700896,0.021379827582851268
5,0.0248419999988982,-2.019876080028336e-05,1.6406332618408106e-05,-0.00028196335253135023,0.0033490127385787907,0.0075842439475185,0.0026893434666579825,0.013419111385217862,0.02540633609955989,0.015513342057690461,-0.00966382520464351,-0.055407812891330524,0.027893616192584385
6,0.0292683000006945,-2.968820765619821e-05,8.270830535324285e-06,-0.0003299879014638828,0.0039518464213360825,0.008925104859988578,0.0032293593271669327,0.015533747958151066,0.029461989555967488,0.018109089451419574,-0.007976615708086665,-0.05524041780280078,0.03426561476910873
7,0.0326805000077001,-3.0476282353809825e-05,8.124837782740997e-06,-0.0003390202824194507,0.004553987844017348,0.010261383270844452,0.0037718640384944778,0.01761637053438505,0.033439198544371274,0.020687429843706025,-0.006431369724189898,-0.05534639179224434,0.04049161031180177
8,0.0370709999988321,-3.0476282353809825e-05,8.124837782740997e-06,-0.0003390202824194507,0.005155174200277252,0.011592437013784812,0.004316697205177872,0.019665649788049196,0.03733524760019047,0.023247055446648953,-0.005029746325276059,-0.055726827333048255,0.04656750304295915
9,0.0418754999991506,-0.0002489101003160221,-0.00010424548774025713,-0.00030934663004584433,0.005755143002041441,0.012917626231712229,0.00486369782267262,0.021680278244186814,0.04114747773106739,0.02578667087505934,-0.003773276277407694,-0.056382544488743996,0.05248931059906998
10,0.0459661000058986,-8.999806024120245e-05,8.580016032652815e-06,-0.00041628332059205246,0.0063536322815394425,0.014236313885630911,0.005412704402749271,0.023658971493065402,0.04487328902538221,0.028304994261577645,-0.002663359784436378,-0.05731408805202606,0.05825317210639542
11,0.0499392000056104,-6.807669439446003e-05,-3.700071871525399e-06,-0.0005242717868202156,0.006950380792480282,0.015547866260515708,0.005963555098774896,0.025600469383295417,0.0485101432070075,0.030800758358260013,-0.0017012643650386311,-0.058521724973110624,0.06385535213579002
12,0.0544843999959994,-7.499033459622766e-05,-1.3564684976809974e-05,-0.0005946629471015229,0.007545128210158515,0.016851653467620235,0.0065160878307423085,0.02750353719239724,0.05205556613332832,0.03327271162340498,-0.0008881228659027556,-0.06000544208230805,0.06929224453184568
13,0.0588109999953303,-7.499033459622766e-05,-1.3564684976809974e-05,-0.0005946629471015229,0.008137615330280124,0.01814704994269712,0.007070140409910847,0.029366966773482002,0.055507150233617825,0.035719619292410854,-0.00022493161407169564,-0.0617649441113363,0.07456037611158572
14,0.0625613000011071,-7.499033459622766e-05,-1.3564684976809974e-05,-0.0005946629471015229,0.008727584266299791,0.01943343493960937,0.00762555066292343,0.031189577676739806,0.05886255688492706,0.03814026443147378,0.00028745128871713525,-0.06379965201754784,0.07965641022809111
15,0.0665511999977752,-0.00016215728845734643,1.3448297391160401e-05,-0.0006859618735867002,0.009314778645063422,0.02071019301881829,0.008182156555265687,0.03297021824445857,0.06211951872271928,0.040533448972957464,0.0006483075270229295,-0.06610870161487997,0.08457715019460221
16,0.0709075000049779,-0.00015896317747093598,1.1205911682986881e-05,-0.0007917682499557656,0.009898943800552305,0.02197671453024069,0.008739796313934293,0.0347077666783279,0.06527584188355554,0.0428979947312888,0.0008570599855246099,-0.06869094251496845,0.08931954256480723
17,0.0751013999979477,-0.00016141276660712583,9.057438208519138e-06,-0.000864244210912996,0.010479826965528197,0.023232396089975956,0.009298308549183041,0.0364011320778154,0.06832940817721764,0.045232744398257696,0.0009132740133546189,-0.07154493738148672,0.09388068026520269
18,0.0791234000062104,-0.00017125507518971338,2.6672205414074982e-05,-0.0009345530703399322,0.011057177460881683,0.02447664105041211,0.00985753237521685,0.03804925544843749,0.07127817718573767,0.04753656251662536,0.0008166585368034091,-0.07466896150039062,0.09825780557559159
19,0.083849899994675,-0.0001940272017319589,1.8680063289460082e-05,-0.0009905966075908579,0.011630746882489497,0.025708859963228994,0.010417307529705645,0.03965111067878339,0.07412018828689083,0.04980833643097282,0.0005670670184397857,-0.07806100266835968,0.10244831295397049
20,0.0899203000008128,-0.0001940272017319589,1.8680063289460082e-05,-0.0009905966075908579,0.012200289285390119,0.026928471034826647,0.01097747449199209,0.04120570548518863,0.07685356259979816,0.05204697721475021,0.00016449826088078067,-0.08171876140133211,0.10644975170224834
