,time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz
0,0.0036388999869814,0.0,0.0,0.0,-0.0001855905233450588,0.0002614509365457746,-0.00048077567339686227,-0.0018885828445170207,0.0021534561558396847,-0.0037939604807761666,0.0035283153762957656,-0.008952301006583218,0.01652175328320093
1,0.0074486999947112,1.941801399426268e-05,2.477771052524168e-05,9.168837285422265e-06,-0.00045798582431614665,0.0006378249590777688,-0.0011420033356668324,-0.0030844912245586603,0.0036341483855514573,-0.0063511226308766355,0.0017579766820635275,-0.007422795546428802,0.014159424431797336
2,0.0113383999996585,3.235112861458184e-05,4.444194908708174e-05,1.6911462907690835e-05,-0.0007314656071433378,0.0010149690152106573,-0.001804413113031846,-0.004270169177577237,0.005098923680711619,-0.008879575132763743,6.431018426816643e-05,-0.005989318324304671,0.01196519028719655
3,0.0154600999958347,3.235112861458184e-05,4.444194908708174e-05,1.6911462907690835e-05,-0.001005923960075869,0.0013927223069799411,-0.002467717797892013,-0.0054448675154204085,0.006546816096077776,-0.011377628133737354,-0.0015508793240112393,-0.004653675440707465,0.00994203588771357
4,0.0196365999872796,-0.00014761212315591725,1.744451742715501e-05,3.2998620451528606e-05,-0.0012812540414492693,0.0017709231422320607,-0.0031316286475733764,-0.006607841402551816,0.007976867757217796,-0.013843606483474031,-0.003085843629124257,-0.0034175972471241142,0.00809281212782019
5,0.0237125999992713,8.07398572477166e-05,0.00011357352000279079,3.995451132122274e-05,-0.0015573481520533153,0.002149409050396486,-0.0037958555914361044,-0.0077583509877182325,0.009388129703470716,-0.01627585121666826,-0.004538893072540395,-0.002282736204091428,0.006420232122518445
6,0.0278047999890986,8.07398572477166e-05,0.00011357352000279079,3.995451132122274e-05,-0.0018340978079824629,0.0025280168986680325,-0.004460107438699636,-0.00889566203163074,0.01077966272362576,-0.018672721022586172,-0.005908398473851685,-0.0012506648117427545,0.004926867699804581
7,0.0313260999973863,-7.881952447524255e-05,8.290136752007005e-05,3.716950377264101e-05,-0.0021113938138912344,0.0029065830084758727,-0.00512409208676472,-0.010019046529973432,0.012150538183389606,-0.02103259369989742,-0.00719279299865898,-0.000322873615595046,0.0036151460259302615
8,0.0360529999888967,0.00014499563403191245,0.0001704793506739371,1.4943146861251071e-05,-0.0023891263365768264,0.003284943272115682,-0.005787516729812206,-0.011127783331058296,0.013499838843720852,-0.02335386759516657,-0.008390573968973645,0.0004992307097523743,0.002487346368023122
9,0.0402486999955726,0.00014499563403191245,0.0001704793506739371,1.4943146861251071e-05,-0.002667184978811076,0.0036629332694214636,-0.00645008806745868,-0.012221158747451001,0.014826659669120746,-0.025634963023403384,-0.009500304613828977,0.0012143271964220937,0.0015455969984771718
10,0.0450341999967349,-8.739331628411664e-06,0.0001427861374234499,1.1689888605225272e-05,-0.0029454588533439135,0.004040388384353901,-0.007111512513249585,-0.013298467160899207,0.016130108624980537,-0.02787432366909155,-0.010520615757861819,0.001821182336070743,0.0007918722453651286
11,0.0495420999941416,0.00023180325748782627,0.00021642257583321357,-2.559230610915702e-05,-0.0032238366570005094,0.004417143921382523,-0.007771496402771308,-0.014359011619902955,0.017409307463098385,-0.03007041796613778,-0.011450207445694256,0.0023186517473076443,0.00022798969295983876
12,0.053050999995321,0.0002603853980988757,0.0002291915630904135,-5.166899852747264e-05,-0.003502206744794507,0.0047930352215395855,-0.008429746201164831,-0.015402104429275422,0.018663392494492538,-0.032221740455207495,-0.01228785050001791,0.0027056817554161985,-0.00014439246371938185
13,0.057457599992631,0.0002991436010232016,0.00022347031975657522,-6.673686367473036e-05,-0.0037804572039800205,0.005167897778024319,-0.009085968709824957,-0.016427067731051893,0.019891515348652224,-0.03432681311693968,-0.01303238801135909,0.002981310882175393,-0.0003237779065970734
14,0.0618335999897681,0.00030858330056514365,0.0002531071151003223,-9.85489201672176e-05,-0.00405847592796548,0.005541567351237164,-0.00973987127207083,-0.017433234076115373,0.021092843718383873,-0.0363841866795621,-0.013682736757581821,0.003144671243683407,-0.0003088345209135165
15,0.0700433999882079,0.00030858330056514365,0.0002531071151003223,-9.85489201672176e-05,-0.004336150690012914,0.005913880083124694,-0.010391161977575367,-0.018419946985918496,0.022266562089427476,-0.03839244189945855,-0.014237888551267551,0.0031949898541931768,-9.839655691200299e-05
16,0.0738081999879796,0.00030858330056514365,0.0002531071151003223,-9.85489201672176e-05,-0.004613369216646834,0.006284672610717151,-0.011039549865343421,-0.019386561503693545,0.02341187245403619,-0.040350190813272,-0.014696911513194785,0.00313158983408083,0.00030853337633038265
17,0.0780960999982198,0.00018614190542627046,0.0002156983839725749,-8.517214538448047e-05,-0.004890019260697587,0.006653782178741965,-0.011684745125030985,-0.020332444734555272,0.02452799500773164,-0.04225607796016191,-0.015058951270229019,0.002953891520181903,0.000912782487900954
18,0.0821488999936264,0.0003988413374331668,0.0002925947732022699,-0.0001705057799443302,-0.0051659886739048545,0.007021046751198144,-0.012326459296400586,-0.021256976373914983,0.025614168828467808,-0.04410878157287003,-0.015323232076023022,0.0026614134768471157,0.0017150061556468594
19,0.0855593999876873,0.0003988413374331668,0.0002925947732022699,-0.0001705057799443302,-0.005441165479007883,0.007386305121778156,-0.012964405466711074,-0.022159549223638792,0.02666965253745792,-0.045907014736287007,-0.015489057853019718,0.002253773406189026,0.002715686452927309
20,0.0891837999952258,0.00026266882154915794,0.00029216569244156735,-0.0002739504932650871,-0.005715437941250002,0.007749397023025736,-0.013598298465843293,-0.02303956969539821,0.02769372494094096,-0.04764952651225186,-0.01555581315434425,0.0017306889561128662,0.003915130853869194
