,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,85.0,1394.0,60.0,39.5,4.0,70.0
1,67.0,,19.0,0.0,,64.0
2,76.0,,0.0,46.5,,71.0
3,32.0,,0.0,49.0,,31.0
4,44.0,,65.0,,,21.0
5,36.0,,28.0,,,
6,,,71.0,,,
7,,,27.0,,,
