,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,68.0,1313.0,56.0,46.0,1.0,36.0
1,60.0,,36.0,45.5,,50.0
2,42.0,,60.0,56.5,,88.0
3,74.0,,31.0,35.0,,11.0
4,56.0,,55.0,,,58.0
5,37.0,,58.0,,,
6,,,35.0,,,
7,,,35.0,,,
