,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,18.0,1432.0,66.0,63.0,4.0,75.0
1,70.0,,60.0,16.5,,70.0
2,77.0,,30.0,59.5,,72.0
3,62.0,,3.0,40.0,,2.0
4,74.0,,63.0,,,60.0
5,58.0,,56.0,,,
6,,,43.0,,,
7,,,37.0,,,
