,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,79.0,1843.0,16.0,11.5,4.0,78.0
1,84.0,,7.0,16.0,,57.0
2,96.0,,32.0,40.0,,33.0
3,66.0,,0.0,48.5,,22.0
4,71.0,,47.0,,,42.0
5,97.0,,33.0,,,
6,,,35.0,,,
7,,,62.0,,,
