,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,37.0,1291.0,70.0,71.0,7.0,76.0
1,60.0,,72.0,71.5,,77.0
2,59.0,,70.0,79.0,,72.0
3,75.0,,73.0,30.0,,57.0
4,63.0,,72.0,,,79.0
5,35.0,,86.0,,,
6,,,32.0,,,
7,,,28.0,,,
