,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,34.0,1792.0,25.0,46.0,2.0,73.0
1,72.0,,67.0,10.5,,70.0
2,100.0,,21.0,48.5,,36.0
3,86.0,,0.0,51.0,,74.0
4,64.0,,35.0,,,58.0
5,94.0,,62.0,,,
6,,,40.0,,,
7,,,62.0,,,
