,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,74.0,1449.0,43.0,43.5,3.0,62.0
1,64.0,,44.0,51.0,,61.0
2,64.0,,47.0,55.0,,55.0
3,57.0,,55.0,56.5,,33.0
4,59.0,,58.0,,,54.0
5,76.0,,52.0,,,
6,,,58.0,,,
7,,,55.0,,,
