,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,25.0,992.0,74.0,71.5,6.0,91.0
1,24.0,,69.0,44.5,,65.0
2,38.0,,71.0,77.5,,66.0
3,42.0,,18.0,48.0,,87.0
4,21.0,,77.0,,,95.0
5,81.0,,78.0,,,
6,,,73.0,,,
7,,,23.0,,,
