time,x,y,z,qx,qy,qz,qw
0.0035610000049928203,-0.08665325492620468,2.3395822048187256,0.4332086443901062,-0.07468722015619278,-0.008670588955283165,-0.029313595965504646,0.9967383742332458
0.008014399994863197,-0.08672283589839935,2.339388370513916,0.4332015812397003,-0.07420243322849274,-0.008711696602404118,-0.029356038197875023,0.9967729449272156
0.012226999999256805,-0.08676959574222565,2.339182138442993,0.4331931173801422,-0.07361701875925064,-0.008709593676030636,-0.029262684285640717,0.9968191385269165
0.016864500008523464,-0.08683694154024124,2.338979721069336,0.43320518732070923,-0.07359699159860611,-0.008933644741773605,-0.02901843935251236,0.9968258142471313
0.020879400006379,-0.08689478039741516,2.3387720584869385,0.43318232893943787,-0.07345513999462128,-0.009001834318041801,-0.029024474322795868,0.9968354105949402
0.024621100004878826,-0.08697445690631866,2.338569402694702,0.4331783652305603,-0.07332391291856766,-0.009156852029263973,-0.028789447620511055,0.9968505501747131
0.029811000000336207,-0.08704328536987305,2.338357448577881,0.43316197395324707,-0.07333878427743912,-0.009173016995191574,-0.028509385883808136,0.9968572854995728
0.03366440000536386,-0.0870925709605217,2.3381292819976807,0.4331662058830261,-0.0732649713754654,-0.009301988407969475,-0.028347909450531006,0.9968661665916443
0.037691899997298606,-0.08714094758033752,2.3379080295562744,0.4331669211387634,-0.07318121194839478,-0.009426778182387352,-0.028139300644397736,0.9968770742416382
0.043430400008219294,-0.08719109743833542,2.3376567363739014,0.4331633746623993,-0.07311905175447464,-0.009470914490520954,-0.027890518307685852,0.9968882203102112
0.04801660000521224,-0.087239108979702,2.3374276161193848,0.4331529140472412,-0.07308352738618851,-0.009595957584679127,-0.027609243988990784,0.9968974590301514
0.054333499996573664,-0.08733461797237396,2.3369572162628174,0.43314358592033386,-0.07251528650522232,-0.009698699228465557,-0.02739880606532097,0.9969437718391418
0.05933069999446161,-0.08737652003765106,2.3367247581481934,0.43313851952552795,-0.0724601298570633,-0.009846312925219536,-0.027012577280402184,0.9969568252563477
0.06317439999838825,-0.08740021288394928,2.3364877700805664,0.43313220143318176,-0.07218436896800995,-0.009847412817180157,-0.02686724066734314,0.9969807267189026
0.06768670000019483,-0.0874267965555191,2.336254596710205,0.43315771222114563,-0.07172039151191711,-0.009777852334082127,-0.026810726150870323,0.997016429901123
0.07565379999869037,-0.08745180815458298,2.3357832431793213,0.43322789669036865,-0.07101575285196304,-0.009869213216006756,-0.02680879458785057,0.997066080570221
0.08117770000535529,-0.08746454864740372,2.3355963230133057,0.43327081203460693,-0.07064275443553925,-0.00985739380121231,-0.026841888204216957,0.9970917701721191
0.0913113999995403,-0.0874696895480156,2.335033893585205,0.43337321281433105,-0.07003026455640793,-0.00985208060592413,-0.02645949088037014,0.9971452355384827
0.09673210000619292,-0.08746640384197235,2.3348770141601562,0.43341776728630066,-0.06994019448757172,-0.009984329342842102,-0.02634904719889164,0.9971531629562378
0.10041460000502411,-0.08745820820331573,2.334718942642212,0.4334501028060913,-0.0698399767279625,-0.009986652061343193,-0.02614467591047287,0.9971655011177063
0.10454260000551585,-0.08744905143976212,2.334569215774536,0.43348169326782227,-0.06979147344827652,-0.010185145772993565,-0.02587682567536831,0.9971739053726196
0.10889610000594985,-0.08744031190872192,2.3344593048095703,0.4335298240184784,-0.06969046592712402,-0.010307474061846733,-0.02564091607928276,0.9971858859062195
0.11276630000793375,-0.08739730715751648,2.3343348503112793,0.43356233835220337,-0.06963972002267838,-0.01033625565469265,-0.025373168289661407,0.9971959590911865
0.11760080000385642,-0.08737918734550476,2.334228992462158,0.43359139561653137,-0.06960351765155792,-0.010496788658201694,-0.025247322395443916,0.9972000122070312
0.12121850000403356,-0.08736348897218704,2.334160804748535,0.433631032705307,-0.06957055628299713,-0.01059302780777216,-0.025155410170555115,0.9972035884857178
0.12563520000549033,-0.08732544630765915,2.3340749740600586,0.43365782499313354,-0.06958016008138657,-0.010792385786771774,-0.02502414770424366,0.997204065322876
0.12932150000415277,-0.08729266375303268,2.334005832672119,0.433696448802948,-0.06946304440498352,-0.01079891063272953,-0.02501431293785572,0.9972124695777893
0.13311110000358894,-0.0872623547911644,2.333937644958496,0.4337364733219147,-0.06977583467960358,-0.011019418947398663,-0.024571890011429787,0.9971991777420044
0.13715830000001006,-0.08723118901252747,2.333883762359619,0.43378251791000366,-0.06978577375411987,-0.011132081970572472,-0.024342672899365425,0.9972028732299805
0.1414954000065336,-0.08719024807214737,2.333833932876587,0.43383052945137024,-0.06996213644742966,-0.011309086345136166,-0.02397623471915722,0.9971973896026611
0.1456157000066014,-0.08714025467634201,2.333787441253662,0.4338718354701996,-0.06994689255952835,-0.011292453855276108,-0.023822082206606865,0.9972022771835327
0.14948340000410099,-0.08711384236812592,2.333772659301758,0.43392181396484375,-0.07007266581058502,-0.011361891403794289,-0.02363983355462551,0.9971970319747925
0.15399400000751484,-0.08709194511175156,2.3337507247924805,0.433971107006073,-0.07026790082454681,-0.011553838849067688,-0.02318141795694828,0.997191846370697
0.15841960000398103,-0.08706912398338318,2.3337481021881104,0.4340176284313202,-0.07032661885023117,-0.011658096686005592,-0.023165496066212654,0.9971868395805359
0.16238639999937732,-0.08704637736082077,2.3337597846984863,0.43406155705451965,-0.07064229249954224,-0.011833989061415195,-0.02271256223320961,0.9971729516983032
0.16632630000822246,-0.08702640980482101,2.333768129348755,0.43411195278167725,-0.07069195806980133,-0.011942187324166298,-0.022555753588676453,0.9971717000007629
