time,x,y,z,qx,qy,qz,qw
0.0036028999893460423,-1.0161536931991577,1.010218620300293,-0.09900696575641632,-0.0005668792291544378,-0.002730980049818754,-0.0008007675060071051,0.9999958276748657
0.008058899999014102,-1.0161528587341309,1.0102311372756958,-0.09897901117801666,-0.000148853738210164,-0.002943014958873391,-0.0007337465649470687,0.9999954700469971
0.012730299989925697,-1.01616632938385,1.010232925415039,-0.09897647798061371,-0.00043399413698352873,-0.0027664508670568466,-0.0007598054362460971,0.9999958276748657
0.016473899988341145,-1.01615309715271,1.0102616548538208,-0.09893717616796494,-0.0005066159646958113,-0.0030352857429534197,-0.0007012191927060485,0.9999949932098389
0.02129419999255333,-1.0161734819412231,1.0102506875991821,-0.09895716607570648,-0.0003419815911911428,-0.002858672756701708,-0.0007153128972277045,0.9999955892562866
0.025405599997611716,-1.0161597728729248,1.0102581977844238,-0.09895655512809753,-0.00030362725374288857,-0.002848246367648244,-0.0008991590002551675,0.9999954700469971
0.02932219998911023,-1.0161728858947754,1.0102481842041016,-0.0989561676979065,-0.00042962332372553647,-0.0031504840590059757,-0.0008121823775582016,0.9999946355819702
0.033364299990353175,-1.0161703824996948,1.0102291107177734,-0.0989702045917511,-0.0004616852384060621,-0.002756894798949361,-0.0007368622464127839,0.9999958276748657
0.03727309999521822,-1.0161585807800293,1.0102436542510986,-0.09897726774215698,-0.0007760761654935777,-0.002707724692299962,-0.0007297364645637572,0.9999958276748657
0.04166209998948034,-1.0161714553833008,1.0102288722991943,-0.09898234158754349,-0.0008098960388451815,-0.0028584294486790895,-0.0007713924278505147,0.9999953508377075
0.04587899999751244,-1.016161561012268,1.0102046728134155,-0.09900488704442978,-0.00042109034257009625,-0.002665185369551182,-0.0007740803412161767,0.9999960660934448
0.050136099991505034,-1.016153335571289,1.0102126598358154,-0.09899088740348816,-0.0001467106194468215,-0.002901013009250164,-0.000795862462837249,0.9999954700469971
0.05407089999062009,-1.0161446332931519,1.0102044343948364,-0.09902375936508179,-0.0005211859242990613,-0.0026108191814273596,-0.0007179665844887495,0.9999961853027344
0.05819679998967331,-1.01613450050354,1.0101979970932007,-0.09901130944490433,-0.0004517931374721229,-0.0028219742234796286,-0.0007845830987207592,0.9999955892562866
0.06263059999037068,-1.0161367654800415,1.0101858377456665,-0.09901358187198639,-0.0005001947865821421,-0.0027346578426659107,-0.0006943729822523892,0.9999959468841553
0.06665559999237303,-1.0161285400390625,1.010167121887207,-0.09900688380002975,-0.000253606413025409,-0.0028647116851061583,-0.000809673045296222,0.9999955892562866
0.07074989999819081,-1.0161203145980835,1.0101505517959595,-0.09898728877305984,-0.00021706940606236458,-0.0029024675022810698,-0.0007998074288479984,0.9999954700469971
0.0752436999900965,-1.0161200761795044,1.0101044178009033,-0.0989672839641571,-0.00018889299826696515,-0.0028404558543115854,-0.0007512129377573729,0.9999957084655762
0.07905010000104085,-1.0161250829696655,1.0100332498550415,-0.09893631190061569,0.0002026436268351972,-0.0030080629512667656,-0.0008470684406347573,0.9999951124191284
0.08324209999409504,-1.0161266326904297,1.009946584701538,-0.09889253228902817,4.1530227463226765e-05,-0.002967923181131482,-0.0008513820357620716,0.999995231628418
0.08764899999368936,-1.0161322355270386,1.0098358392715454,-0.0988801121711731,0.00013722268340643495,-0.003136354498565197,-0.0007746103219687939,0.9999947547912598
0.09194499999284744,-1.0161292552947998,1.0097371339797974,-0.09884954988956451,0.000604710599873215,-0.003164352150633931,-0.0008247311343438923,0.9999945163726807
0.09599689999595284,-1.0161373615264893,1.0095945596694946,-0.09883230179548264,0.0007612810586579144,-0.0029512897599488497,-0.0008024320704862475,0.9999951124191284
0.09976459998870268,-1.0161467790603638,1.0094619989395142,-0.09880774468183517,0.0009885149775072932,-0.00280551565811038,-0.0007242222782224417,0.9999953508377075
0.10429219999059569,-1.0161548852920532,1.0093193054199219,-0.09877900034189224,0.0015007726615294814,-0.002862202003598213,-0.0006715984782204032,0.9999946355819702
0.10845379999955185,-1.0161596536636353,1.0091667175292969,-0.0987609326839447,0.001667300472036004,-0.0030737186316400766,-0.0004737207491416484,0.9999938011169434
0.11251929998979904,-1.0161545276641846,1.0090337991714478,-0.0987190529704094,0.0015425421297550201,-0.003196698846295476,-0.00032870430732145905,0.9999936819076538
0.1166112999926554,-1.0161398649215698,1.0088988542556763,-0.09868279099464417,0.0021226294338703156,-0.0031632869504392147,-0.00030475648236460984,0.9999927282333374
0.12073840000084601,-1.0161170959472656,1.0087921619415283,-0.0986003428697586,0.002181525342166424,-0.002756670583039522,-0.00026942917611449957,0.9999938011169434
0.12538499999209307,-1.0161018371582031,1.0086721181869507,-0.09853801131248474,0.002425694139674306,-0.00277424487285316,-0.00019449061073828489,0.9999932050704956
0.12937670000246726,-1.0160812139511108,1.0085630416870117,-0.09849146753549576,0.0024811665061861277,-0.002746846526861191,-5.5668271670583636e-05,0.9999932050704956
0.13323219999438152,-1.016052484512329,1.0084680318832397,-0.09843504428863525,0.002504414413124323,-0.0028033596463501453,9.666050755186006e-05,0.9999929666519165
0.13742240000283346,-1.0160082578659058,1.0083895921707153,-0.09837518632411957,0.0027761401142925024,-0.002820306457579136,0.00011364951933501288,0.9999922513961792
0.14155429998936597,-1.0159547328948975,1.0083104372024536,-0.09830953925848007,0.0030575760174542665,-0.0029379427433013916,2.6957355657941662e-05,0.9999910593032837
0.1459781000012299,-1.0158939361572266,1.0082589387893677,-0.09822200983762741,0.002800282323732972,-0.0029461891390383244,0.0002853237383533269,0.999991774559021
