,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,60.0,1081.0,0.0,14.0,2.0,68.0
1,59.0,,28.0,0.0,,72.0
2,0.0,,0.0,80.0,,67.0
3,56.0,,0.0,0.0,,43.0
4,58.0,,84.0,,,73.0
5,13.0,,76.0,,,
6,,,0.0,,,
7,,,0.0,,,
