,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,24.0,1045.0,76.0,68.5,5.0,74.0
1,59.0,,61.0,36.5,,37.0
2,39.0,,38.0,70.0,,62.0
3,36.0,,35.0,71.5,,76.0
4,33.0,,69.0,,,85.0
5,66.0,,71.0,,,
6,,,68.0,,,
7,,,75.0,,,
