,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,59.0,1139.0,0.0,5.0,3.0,71.0
1,58.0,,10.0,0.0,,75.0
2,0.0,,0.0,84.0,,84.0
3,71.0,,0.0,0.0,,40.0
4,58.0,,83.0,,,59.0
5,6.0,,85.0,,,
6,,,0.0,,,
7,,,0.0,,,
