,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,58.0,1271.0,67.0,66.0,6.0,76.0
1,60.0,,65.0,65.0,,64.0
2,58.0,,62.0,61.0,,73.0
3,62.0,,68.0,50.5,,64.0
4,60.0,,65.0,,,56.0
5,61.0,,57.0,,,
6,,,61.0,,,
7,,,40.0,,,
