,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,56.0,1274.0,64.0,64.5,6.0,73.0
1,59.0,,65.0,59.0,,68.0
2,56.0,,58.0,64.0,,75.0
3,66.0,,60.0,37.5,,71.0
4,58.0,,61.0,,,74.0
5,60.0,,67.0,,,
6,,,35.0,,,
7,,,40.0,,,
