,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,54.0,1146.0,61.0,56.5,3.0,62.0
1,53.0,,52.0,47.5,,54.0
2,42.0,,48.0,57.5,,67.0
3,64.0,,47.0,34.5,,55.0
4,52.0,,58.0,,,58.0
5,40.0,,57.0,,,
6,,,32.0,,,
7,,,37.0,,,
