,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,75.0,1361.0,71.0,49.0,6.0,64.0
1,36.0,,27.0,70.0,,65.0
2,34.0,,71.0,51.5,,67.0
3,61.0,,69.0,58.5,,74.0
4,36.0,,63.0,,,71.0
5,88.0,,40.0,,,
6,,,75.0,,,
7,,,42.0,,,
