,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,80.0,1467.0,60.0,43.0,2.0,19.0
1,70.0,,26.0,28.5,,32.0
2,39.0,,28.0,49.5,,33.0
3,20.0,,29.0,49.5,,10.0
4,71.0,,61.0,,,25.0
5,79.0,,38.0,,,
6,,,23.0,,,
7,,,76.0,,,
