,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,60.0,1378.0,91.0,90.5,7.0,83.0
1,71.0,,90.0,45.5,,90.0
2,42.0,,35.0,69.0,,92.0
3,85.0,,56.0,39.0,,78.0
4,61.0,,68.0,,,86.0
5,5.0,,70.0,,,
6,,,35.0,,,
7,,,43.0,,,
