,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,54.0,1113.0,53.0,49.0,3.0,62.0
1,52.0,,45.0,50.0,,57.0
2,35.0,,52.0,54.0,,60.0
3,61.0,,48.0,39.0,,56.0
4,53.0,,55.0,,,56.0
5,37.0,,53.0,,,
6,,,36.0,,,
7,,,42.0,,,
