,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,50.0,1195.0,69.0,50.5,1.0,67.0
1,71.0,,32.0,0.0,,86.0
2,73.0,,0.0,69.5,,77.0
3,14.0,,0.0,14.0,,17.0
4,53.0,,71.0,,,61.0
5,12.0,,68.0,,,
6,,,12.0,,,
7,,,16.0,,,
