,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,56.0,1581.0,57.0,42.0,5.0,74.0
1,82.0,,27.0,4.5,,76.0
2,91.0,,9.0,59.5,,76.0
3,19.0,,0.0,28.0,,37.0
4,90.0,,57.0,,,78.0
5,35.0,,62.0,,,
6,,,33.0,,,
7,,,23.0,,,
