,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,35.0,1027.0,62.0,46.5,5.0,62.0
1,29.0,,31.0,46.5,,34.0
2,57.0,,31.0,66.5,,38.0
3,40.0,,62.0,47.5,,88.0
4,35.0,,64.0,,,82.0
5,63.0,,69.0,,,
6,,,37.0,,,
7,,,58.0,,,
