,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,54.0,1173.0,53.0,53.0,5.0,60.0
1,52.0,,53.0,51.0,,62.0
2,41.0,,54.0,53.0,,69.0
3,73.0,,48.0,42.0,,67.0
4,48.0,,55.0,,,61.0
5,31.0,,51.0,,,
6,,,40.0,,,
7,,,44.0,,,
