,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,51.0,1128.0,58.0,55.0,4.0,62.0
1,51.0,,52.0,50.5,,61.0
2,41.0,,53.0,55.5,,66.0
3,66.0,,48.0,36.5,,62.0
4,51.0,,54.0,,,64.0
5,38.0,,57.0,,,
6,,,36.0,,,
7,,,37.0,,,
