,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,70.0,1459.0,30.0,24.5,2.0,12.0
1,73.0,,19.0,17.5,,39.0
2,62.0,,21.0,30.5,,30.0
3,39.0,,14.0,51.5,,9.0
4,74.0,,29.0,,,10.0
5,69.0,,32.0,,,
6,,,30.0,,,
7,,,73.0,,,
