,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,56.0,1217.0,57.0,60.0,6.0,82.0
1,56.0,,63.0,48.0,,81.0
2,44.0,,40.0,62.0,,75.0
3,75.0,,56.0,62.5,,72.0
4,47.0,,66.0,,,81.0
5,34.0,,58.0,,,
6,,,80.0,,,
7,,,45.0,,,
