,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,42.0,1019.0,58.0,55.5,5.0,71.0
1,41.0,,53.0,62.5,,65.0
2,27.0,,67.0,71.5,,72.0
3,53.0,,58.0,42.5,,63.0
4,41.0,,78.0,,,86.0
5,59.0,,65.0,,,
6,,,40.0,,,
7,,,45.0,,,
