,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,56.0,1357.0,67.0,65.0,5.0,70.0
1,66.0,,63.0,42.0,,83.0
2,40.0,,55.0,75.5,,68.0
3,73.0,,29.0,27.5,,32.0
4,74.0,,76.0,,,
5,36.0,,75.0,,,
6,,,26.0,,,
7,,,29.0,,,
