,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,59.0,1425.0,38.0,38.5,3.0,61.0
1,67.0,,39.0,40.0,,73.0
2,58.0,,59.0,64.5,,43.0
3,65.0,,21.0,47.5,,39.0
4,80.0,,60.0,,,
5,57.0,,69.0,,,
6,,,20.0,,,
7,,,75.0,,,
