,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,59.0,1137.0,65.0,60.5,3.0,67.0
1,55.0,,56.0,43.5,,50.0
2,56.0,,60.0,60.0,,83.0
3,50.0,,27.0,32.0,,70.0
4,43.0,,56.0,,,67.0
5,45.0,,64.0,,,
6,,,27.0,,,
7,,,37.0,,,
