,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,58.0,1065.0,0.0,17.0,3.0,68.0
1,62.0,,34.0,0.0,,70.0
2,0.0,,0.0,81.0,,82.0
3,57.0,,0.0,0.0,,37.0
4,53.0,,78.0,,,72.0
5,8.0,,84.0,,,
6,,,0.0,,,
7,,,0.0,,,
