,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,39.0,1547.0,37.0,52.5,6.0,64.0
1,69.0,,68.0,48.0,,68.0
2,74.0,,61.0,51.0,,57.0
3,59.0,,35.0,56.0,,74.0
4,64.0,,36.0,,,77.0
5,92.0,,66.0,,,
6,,,39.0,,,
7,,,73.0,,,
