,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,92.0,1225.0,18.0,13.5,3.0,44.0
1,70.0,,9.0,9.5,,70.0
2,39.0,,19.0,54.0,,36.0
3,25.0,,0.0,71.5,,12.0
4,39.0,,34.0,,,77.0
5,0.0,,74.0,,,
6,,,67.0,,,
7,,,76.0,,,
