,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,53.0,1136.0,55.0,55.5,4.0,62.0
1,52.0,,56.0,45.0,,60.0
2,41.0,,49.0,55.0,,67.0
3,65.0,,41.0,41.0,,61.0
4,51.0,,55.0,,,65.0
5,38.0,,55.0,,,
6,,,42.0,,,
7,,,40.0,,,
