,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,64.0,1514.0,66.0,71.5,2.0,38.0
1,42.0,,77.0,16.0,,30.0
2,78.0,,32.0,51.5,,35.0
3,82.0,,0.0,57.5,,18.0
4,70.0,,40.0,,,80.0
5,59.0,,63.0,,,
6,,,53.0,,,
7,,,62.0,,,
