,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,58.0,1362.0,56.0,28.0,1.0,60.0
1,62.0,,0.0,27.5,,70.0
2,79.0,,55.0,58.5,,70.0
3,39.0,,0.0,20.5,,10.0
4,73.0,,42.0,,,81.0
5,23.0,,75.0,,,
6,,,13.0,,,
7,,,28.0,,,
