,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,42.0,1208.0,50.0,55.0,4.0,64.0
1,62.0,,60.0,44.0,,63.0
2,45.0,,54.0,60.0,,68.0
3,64.0,,34.0,36.5,,36.0
4,50.0,,60.0,,,72.0
5,58.0,,60.0,,,
6,,,40.0,,,
7,,,33.0,,,
