,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,57.0,1283.0,74.0,41.0,1.0,64.0
1,66.0,,8.0,9.5,,73.0
2,76.0,,19.0,72.0,,75.0
3,22.0,,0.0,19.5,,16.0
4,69.0,,71.0,,,57.0
5,3.0,,73.0,,,
6,,,16.0,,,
7,,,23.0,,,
