,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,45.0,1638.0,74.0,66.0,3.0,72.0
1,78.0,,58.0,9.0,,80.0
2,83.0,,18.0,70.5,,87.0
3,61.0,,0.0,51.5,,28.0
4,66.0,,73.0,,,79.0
5,91.0,,68.0,,,
6,,,39.0,,,
7,,,64.0,,,
