,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,62.0,1498.0,63.0,50.0,3.0,78.0
1,36.0,,37.0,0.0,,18.0
2,25.0,,0.0,23.5,,34.0
3,88.0,,0.0,75.5,,80.0
4,63.0,,18.0,,,27.0
5,87.0,,29.0,,,
6,,,77.0,,,
7,,,74.0,,,
