,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,68.0,1465.0,70.0,70.0,2.0,72.0
1,69.0,,70.0,67.0,,73.0
2,67.0,,67.0,70.5,,74.0
3,41.0,,67.0,55.5,,26.0
4,80.0,,71.0,,,80.0
5,63.0,,70.0,,,
6,,,78.0,,,
7,,,33.0,,,
