,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,54.0,1077.0,54.0,55.0,6.0,80.0
1,49.0,,56.0,52.0,,60.0
2,21.0,,59.0,82.5,,59.0
3,2.0,,45.0,51.0,,86.0
4,75.0,,81.0,,,53.0
5,39.0,,84.0,,,
6,,,62.0,,,
7,,,40.0,,,
