,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,65.0,1063.0,0.0,9.0,2.0,69.0
1,62.0,,18.0,0.0,,65.0
2,4.0,,0.0,80.5,,66.0
3,54.0,,0.0,0.0,,13.0
4,45.0,,82.0,,,63.0
5,4.0,,79.0,,,
6,,,0.0,,,
7,,,0.0,,,
