,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,63.0,1229.0,58.0,59.5,3.0,69.0
1,60.0,,61.0,50.5,,56.0
2,38.0,,65.0,63.5,,73.0
3,53.0,,36.0,39.5,,63.0
4,57.0,,63.0,,,63.0
5,59.0,,64.0,,,
6,,,39.0,,,
7,,,40.0,,,
