,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,56.0,1600.0,63.0,64.5,4.0,72.0
1,83.0,,66.0,28.0,,72.0
2,96.0,,56.0,74.0,,79.0
3,17.0,,0.0,39.0,,26.0
4,72.0,,72.0,,,84.0
5,64.0,,76.0,,,
6,,,41.0,,,
7,,,37.0,,,
