,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,44.0,1126.0,57.0,56.5,5.0,40.0
1,56.0,,56.0,48.5,,40.0
2,59.0,,58.0,53.0,,77.0
3,57.0,,39.0,48.5,,74.0
4,46.0,,45.0,,,50.0
5,37.0,,61.0,,,
6,,,56.0,,,
7,,,41.0,,,
