,TLX_q,TLX_awwl,MS_q,MS_score,MD_r,SE_r
0,43.0,1232.0,66.0,68.0,6.0,74.0
1,65.0,,70.0,66.0,,69.0
2,55.0,,63.0,62.5,,76.0
3,62.0,,69.0,33.5,,72.0
4,61.0,,58.0,,,73.0
5,37.0,,67.0,,,
6,,,33.0,,,
7,,,34.0,,,
